date,day_of_week,is_weekend,is_public_holiday,total_arrivals,total_required_nurses,total_staffed_nurses,total_regular_hours,total_overtime_hours,total_locum_hours,total_payroll_cost_zar,total_unfilled_shifts
2025-04-12,Saturday,True,False,69.0,17,17,136.0,0.0,0.0,27744.8,0
2025-04-13,Sunday,True,False,63.0,15,15,120.0,0.0,0.0,24056.3,0
2025-04-14,Monday,False,False,78.0,18,18,144.0,0.0,0.0,23093.8,0
2025-04-15,Tuesday,False,False,61.0,15,15,120.0,0.0,0.0,16244.8,0
2025-04-16,Wednesday,False,False,77.0,18,18,144.0,0.0,0.0,25454.28,0
2025-04-17,Thursday,False,False,73.0,17,17,136.0,0.0,0.0,23716.76,0
2025-04-18,Friday,False,True,40.0,11,11,88.0,0.0,0.0,25402.26,0
2025-04-19,Saturday,True,False,45.0,11,11,88.0,0.0,0.0,15640.62,0
2025-04-20,Sunday,True,False,67.0,16,16,128.0,0.0,0.0,24972.96,0
2025-04-21,Monday,False,True,70.0,17,17,136.0,0.0,0.0,41294.78,0
2025-04-22,Tuesday,False,False,77.0,18,18,144.0,0.0,0.0,20436.48,0
2025-04-23,Wednesday,False,False,68.0,16,16,128.0,0.0,0.0,21788.76,0
2025-04-24,Thursday,False,False,45.0,11,11,88.0,0.0,0.0,17279.18,0
2025-04-25,Friday,False,False,70.0,17,17,136.0,0.0,0.0,21469.8,0
2025-04-26,Saturday,True,False,75.0,18,18,144.0,0.0,0.0,29082.36,0
2025-04-27,Sunday,True,True,69.0,17,17,136.0,0.0,0.0,51957.4,0
2025-04-28,Monday,False,True,56.0,13,13,104.0,0.0,0.0,28915.7,0
2025-04-29,Tuesday,False,False,87.0,20,20,160.0,0.0,0.0,23864.64,0
2025-04-30,Wednesday,False,False,81.0,19,19,152.0,0.0,0.0,25604.42,0
2025-05-01,Thursday,False,True,69.0,17,17,136.0,0.0,0.0,46287.7,0
2025-05-02,Friday,False,False,66.0,15,15,120.0,0.0,0.0,20979.06,0
2025-05-03,Saturday,True,False,76.0,18,18,144.0,0.0,0.0,30959.46,0
2025-05-04,Sunday,True,False,65.0,15,15,120.0,0.0,0.0,25551.08,0
2025-05-05,Monday,False,False,91.0,21,21,168.0,0.0,0.0,24922.98,0
2025-05-06,Tuesday,False,False,75.0,18,18,144.0,0.0,0.0,20986.5,0
2025-05-07,Wednesday,False,False,79.0,19,19,152.0,0.0,0.0,24380.4,0
2025-05-08,Thursday,False,False,86.0,20,20,160.0,0.0,0.0,26377.24,0
2025-05-09,Friday,False,False,81.0,19,19,152.0,0.0,0.0,23872.82,0
2025-05-10,Saturday,True,False,73.0,17,17,136.0,0.0,0.0,29137.5,0
2025-05-11,Sunday,True,False,76.0,18,18,144.0,0.0,0.0,33774.0,0
2025-05-12,Monday,False,False,66.0,15,15,120.0,0.0,0.0,15581.38,0
2025-05-13,Tuesday,False,False,90.0,21,21,168.0,0.0,0.0,24625.12,0
2025-05-14,Wednesday,False,False,72.0,17,17,136.0,0.0,0.0,21755.4,0
2025-05-15,Thursday,False,False,80.0,19,19,152.0,0.0,0.0,25018.84,0
2025-05-16,Friday,False,False,81.0,19,19,152.0,0.0,0.0,23623.9,0
2025-05-17,Saturday,True,False,67.0,16,16,128.0,0.0,0.0,28656.28,0
2025-05-18,Sunday,True,False,75.0,18,18,144.0,0.0,0.0,31671.86,0
2025-05-19,Monday,False,False,77.0,18,18,144.0,0.0,0.0,18812.7,0
2025-05-20,Tuesday,False,False,84.0,19,19,152.0,0.0,0.0,22133.5,0
2025-05-21,Wednesday,False,False,80.0,19,19,152.0,0.0,0.0,23216.8,0
2025-05-22,Thursday,False,False,71.0,17,17,136.0,0.0,0.0,21870.84,0
2025-05-23,Friday,False,False,81.0,19,19,152.0,0.0,0.0,22656.22,0
2025-05-24,Saturday,True,False,68.0,16,16,128.0,0.0,0.0,27346.84,0
2025-05-25,Sunday,True,False,62.0,15,15,120.0,0.0,0.0,28030.22,0
2025-05-26,Monday,False,False,82.0,19,19,152.0,0.0,0.0,21889.78,0
2025-05-27,Tuesday,False,False,83.0,19,19,152.0,0.0,0.0,22628.3,0
2025-05-28,Wednesday,False,False,67.0,16,16,128.0,0.0,0.0,20110.48,0
2025-05-29,Thursday,False,False,53.0,13,13,104.0,0.0,0.0,17892.7,0
2025-05-30,Friday,False,False,63.0,15,15,120.0,0.0,0.0,16371.86,0
2025-05-31,Saturday,True,False,69.0,17,17,136.0,0.0,0.0,28798.94,0
2025-06-01,Sunday,True,False,71.0,17,17,136.0,0.0,0.0,32825.04,0
2025-06-02,Monday,False,False,96.0,21,21,168.0,0.0,0.0,26784.52,0
2025-06-03,Tuesday,False,False,83.0,19,19,152.0,0.0,0.0,23981.44,0
2025-06-04,Wednesday,False,False,66.0,15,15,120.0,0.0,0.0,18835.48,0
2025-06-05,Thursday,False,False,79.0,19,19,152.0,0.0,0.0,23235.46,0
2025-06-06,Friday,False,False,76.0,18,18,144.0,0.0,0.0,20993.78,0
2025-06-07,Saturday,True,False,78.0,18,18,144.0,0.0,0.0,28365.7,0
2025-06-08,Sunday,True,False,64.0,15,15,120.0,0.0,0.0,28578.1,0
2025-06-09,Monday,False,False,82.0,19,19,152.0,0.0,0.0,23383.52,0
2025-06-10,Tuesday,False,False,62.0,15,15,120.0,0.0,0.0,20295.9,0
2025-06-11,Wednesday,False,False,60.0,14,14,112.0,0.0,0.0,18827.16,0
2025-06-12,Thursday,False,False,65.0,15,15,120.0,0.0,0.0,17243.78,0
2025-06-13,Friday,False,False,75.0,18,18,144.0,0.0,0.0,22469.78,0
2025-06-14,Saturday,True,False,59.0,14,14,112.0,0.0,0.0,19742.8,0
2025-06-15,Sunday,True,False,62.0,15,15,120.0,0.0,0.0,26141.56,0
2025-06-16,Monday,False,True,64.0,15,15,120.0,0.0,0.0,35235.78,0
2025-06-17,Tuesday,False,False,78.0,18,18,144.0,0.0,0.0,24760.56,0
2025-06-18,Wednesday,False,False,84.0,19,19,152.0,0.0,0.0,24985.6,0
2025-06-19,Thursday,False,False,71.0,17,17,136.0,0.0,0.0,21562.48,0
2025-06-20,Friday,False,False,69.0,17,17,136.0,0.0,0.0,21181.36,0
2025-06-21,Saturday,True,False,63.0,15,15,120.0,0.0,0.0,22544.9,0
2025-06-22,Sunday,True,False,69.0,17,17,136.0,0.0,0.0,27405.16,0
2025-06-23,Monday,False,False,75.0,18,18,144.0,0.0,0.0,22565.8,0
2025-06-24,Tuesday,False,False,65.0,15,15,120.0,0.0,0.0,22339.74,0
2025-06-25,Wednesday,False,False,60.0,14,14,112.0,0.0,0.0,18061.52,0
2025-06-26,Thursday,False,False,62.0,15,15,120.0,0.0,0.0,19123.92,0
2025-06-27,Friday,False,False,69.0,17,17,136.0,0.0,0.0,21891.7,0
2025-06-28,Saturday,True,False,40.0,11,11,88.0,0.0,0.0,15972.0,0
2025-06-29,Sunday,True,False,55.0,13,13,104.0,0.0,0.0,20235.36,0
2025-06-30,Monday,False,False,85.0,19,19,152.0,0.0,0.0,24632.42,0
2025-07-01,Tuesday,False,False,84.0,19,19,152.0,0.0,0.0,26924.18,0
2025-07-02,Wednesday,False,False,80.0,19,19,152.0,0.0,0.0,24823.1,0
2025-07-03,Thursday,False,False,82.0,19,19,152.0,0.0,0.0,24385.5,0
2025-07-04,Friday,False,False,65.0,15,15,120.0,0.0,0.0,19524.92,0
2025-07-05,Saturday,True,False,66.0,15,15,120.0,0.0,0.0,22391.82,0
2025-07-06,Sunday,True,False,69.0,17,17,136.0,0.0,0.0,29384.54,0
2025-07-07,Monday,False,False,81.0,19,19,152.0,0.0,0.0,26116.76,0
2025-07-08,Tuesday,False,False,55.0,13,13,104.0,0.0,0.0,17296.92,0
2025-07-09,Wednesday,False,False,76.0,18,18,144.0,0.0,0.0,23595.92,0
2025-07-10,Thursday,False,False,67.0,16,16,128.0,0.0,0.0,20778.1,0
2025-07-11,Friday,False,False,61.0,15,15,120.0,0.0,0.0,19922.9,0
2025-07-12,Saturday,True,False,69.0,17,17,136.0,0.0,0.0,24853.3,0
2025-07-13,Sunday,True,False,58.0,13,13,104.0,0.0,0.0,17078.26,0
2025-07-14,Monday,False,False,92.0,21,21,168.0,0.0,0.0,28085.62,0
2025-07-15,Tuesday,False,False,81.0,19,19,152.0,0.0,0.0,26034.5,0
2025-07-16,Wednesday,False,False,68.0,16,16,128.0,0.0,0.0,22604.3,0
2025-07-17,Thursday,False,False,70.0,17,17,136.0,0.0,0.0,23482.36,0
2025-07-18,Friday,False,False,72.0,17,17,136.0,0.0,0.0,21688.54,0
2025-07-19,Saturday,True,False,81.0,19,19,152.0,0.0,0.0,26136.58,0
2025-07-20,Sunday,True,False,77.0,18,18,144.0,0.0,0.0,28914.5,0
2025-07-21,Monday,False,False,92.0,21,21,168.0,0.0,0.0,28664.68,0
2025-07-22,Tuesday,False,False,69.0,17,17,136.0,0.0,0.0,22447.08,0
2025-07-23,Wednesday,False,False,68.0,16,16,128.0,0.0,0.0,23410.54,0
2025-07-24,Thursday,False,False,79.0,19,18,144.0,0.0,8.0,29314.32,1
2025-07-25,Friday,False,False,77.0,18,18,144.0,0.0,0.0,20769.72,0
2025-07-26,Saturday,True,False,69.0,17,17,136.0,0.0,0.0,22368.88,0
2025-07-27,Sunday,True,False,76.0,18,18,144.0,0.0,0.0,27980.16,0
2025-07-28,Monday,False,False,87.0,20,20,160.0,0.0,0.0,27060.52,0
2025-07-29,Tuesday,False,False,72.0,17,17,136.0,0.0,0.0,22081.44,0
2025-07-30,Wednesday,False,False,71.0,17,17,136.0,0.0,0.0,23929.26,0
2025-07-31,Thursday,False,False,71.0,17,17,136.0,0.0,0.0,24049.14,0
2025-08-01,Friday,False,False,69.0,17,17,136.0,0.0,0.0,19662.52,0
2025-08-02,Saturday,True,False,56.0,13,13,104.0,0.0,0.0,16544.82,0
2025-08-03,Sunday,True,False,71.0,17,17,136.0,0.0,0.0,26001.06,0
2025-08-04,Monday,False,False,84.0,19,19,152.0,0.0,0.0,23010.52,0
2025-08-05,Tuesday,False,False,85.0,19,19,152.0,0.0,0.0,24608.36,0
2025-08-06,Wednesday,False,False,74.0,18,18,144.0,0.0,0.0,25987.64,0
2025-08-07,Thursday,False,False,78.0,18,16,128.0,0.0,16.0,30097.15,2
2025-08-08,Friday,False,False,64.0,15,15,120.0,0.0,0.0,19184.44,0
2025-08-09,Saturday,True,True,59.0,14,14,112.0,0.0,0.0,36560.54,0
2025-08-10,Sunday,True,False,56.0,13,13,104.0,0.0,0.0,18309.44,0
2025-08-11,Monday,False,False,69.0,17,17,136.0,0.0,0.0,21612.64,0
2025-08-12,Tuesday,False,False,69.0,17,17,136.0,0.0,0.0,22105.36,0
2025-08-13,Wednesday,False,False,82.0,19,19,152.0,0.0,0.0,27474.08,0
